HELIOS2019	 18.59	 11.86	 6.73	 21.79	 0.0	 8.33	 4.05	 2.56	 4.17	 0.0	 1.67	 8.33	 0.33	 1
AHUT-SC	 34.44	 17.6	 10.24	 5.76	 3.63	 3.74	 3.4	 4.8	 3.58	 5.81	 4.01	 2.99	 0.33	 2
HELIOS2019	 30.59	 17.77	 9.82	 6.47	 4.11	 5.96	 3.4	 5.01	 3.28	 6.49	 4.01	 2.08	 0.33	 2
AHUT-SC	 31.07	 16.33	 9.54	 8.61	 5.61	 8.07	 4.91	 2.58	 5.48	 4.0	 1.12	 2.68	 0.33	 3
HELIOS2019	 22.48	 17.04	 11.19	 8.83	 6.09	 7.97	 4.91	 3.71	 4.27	 4.06	 1.12	 4.12	 0.33	 3
AHUT-SC	 36.27	 17.66	 8.63	 6.35	 2.1	 2.04	 6.32	 5.31	 0.65	 2.54	 6.95	 5.18	 0.33	 4
HELIOS2019	 35.68	 11.98	 11.88	 5.61	 5.76	 2.47	 6.32	 4.78	 5.76	 3.55	 6.95	 0.98	 0.33	 4
AHUT-SC	 32.73	 16.72	 11.03	 8.5	 5.87	 3.6	 5.16	 3.39	 2.29	 3.74	 5.17	 1.81	 0.33	 5
HELIOS2019	 17.28	 18.48	 12.07	 3.71	 5.42	 7.59	 5.16	 9.64	 5.16	 3.97	 5.17	 2.01	 0.33	 5
AHUT-SC	 41.67	 22.22	 4.17	 11.11	 0.0	 0.0	 5.56	 0.0	 11.11	 4.17	 0.0	 0.0	 0.33	 6
HELIOS2019	 29.63	 7.41	 3.7	 7.41	 0.0	 0.0	 5.56	 0.0	 0.0	 3.7	 0.0	 0.0	 0.33	 6
AHUT-SC	 45.56	 6.67	 6.67	 6.67	 0.0	 6.67	 8.33	 0.0	 19.44	 0.0	 0.0	 0.0	 0.33	 7
HELIOS2019	 54.44	 25.56	 0.0	 6.67	 0.0	 0.0	 8.33	 0.0	 3.33	 6.67	 0.0	 0.0	 0.33	 7
AHUT-SC	 36.02	 19.9	 14.44	 3.1	 1.95	 5.58	 3.97	 2.35	 2.73	 3.43	 2.74	 3.78	 2.33	 0
MT2018SJB	 42.24	 24.84	 9.66	 2.62	 3.85	 3.0	 3.97	 4.42	 3.66	 1.28	 2.74	 1.28	 0.0	 0
AHUT-SC	 20.44	 17.63	 19.27	 2.56	 5.09	 11.57	 4.42	 6.27	 2.78	 1.85	 4.42	 3.7	 2.33	 1
MT2018SJB	 32.64	 34.03	 0.0	 2.08	 8.33	 7.64	 4.42	 13.19	 0.0	 0.0	 4.42	 2.08	 0.0	 1
AHUT-SC	 35.67	 19.58	 9.93	 5.73	 4.09	 4.73	 4.25	 2.3	 2.71	 2.46	 4.25	 4.29	 2.33	 2
MT2018SJB	 47.12	 14.57	 8.61	 3.5	 3.75	 3.18	 4.25	 3.16	 3.42	 2.83	 4.25	 3.18	 0.0	 2
AHUT-SC	 26.93	 18.1	 10.81	 4.57	 4.46	 6.36	 5.19	 7.66	 3.69	 4.29	 4.98	 2.96	 2.33	 3
MT2018SJB	 29.43	 15.35	 12.08	 6.87	 5.83	 9.1	 5.19	 3.14	 4.37	 3.29	 4.98	 2.94	 0.0	 3
AHUT-SC	 36.87	 15.33	 8.34	 7.04	 8.06	 3.01	 3.24	 5.4	 1.59	 2.72	 2.39	 6.01	 2.33	 4
MT2018SJB	 35.41	 18.85	 7.77	 5.93	 1.08	 5.77	 3.24	 4.11	 4.11	 6.52	 2.39	 3.18	 0.0	 4
AHUT-SC	 27.28	 18.87	 9.93	 6.8	 4.58	 3.47	 6.04	 4.58	 1.11	 5.69	 4.37	 7.28	 2.33	 5
